racer_number,racer_name,races,wins,win_rate
3713,伊藤 誠二,308,65,0.211
5060,数原 魁,308,53,0.1721
4247,齊藤 優,308,40,0.1299
4638,小林 遼太,308,40,0.1299
3478,嶋田 貴支,308,42,0.1364
4842,山下 昂大,308,56,0.1818
4488,小山 勉,308,82,0.2662
3882,新田 智彰,308,37,0.1201
4382,高山 智至,308,20,0.0649
5282,中本 大樹,308,41,0.1331
3797,岩井 繁,307,13,0.0423
3615,横田 茂,307,29,0.0945
4416,三宅 健太,307,44,0.1433
4096,石橋 道友,307,86,0.2801
5269,山口 晃朋,307,84,0.2736
3474,松瀬 弘美,307,25,0.0814
3730,塩崎 優司,307,31,0.101
